condition,condition_label,subset_type_pooled,patch_type,layer,n,mean,median,std,ci_lo,ci_hi,n_positive_effect,n_negative_effect,fraction_expected_direction,expected_direction,p_ttest_vs_0,p_wilcoxon_expected_sign,p_perm_rand
closed_context_false_belief_pressure,Closed-Context,control,transfer,30,7,-0.2851012857142857,-0.41243,0.5741468400039936,-0.6429242428571429,0.14774528571428572,1,6,0.8571428571428571,negative,0.23691317802428855,0.21875,0.2353823088455772
closed_context_false_belief_pressure,Closed-Context,degraded,transfer,30,12,-3.7517728333333333,-2.6351375,2.323341462790562,-5.122461187500001,-2.630604379166668,0,12,1.0,negative,0.0001617800234392512,0.00048828125,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,control,rescue,32,7,0.8653217142857141,0.989162,0.9750594789164939,0.10539542857142857,1.395154257142857,6,1,0.8571428571428571,positive,0.05721573670061045,0.15625,0.09295352323838081
closed_context_false_belief_pressure,Closed-Context,degraded,rescue,32,12,4.871063583333333,3.9950075,2.213740961605714,3.773829604166667,6.1522265791666655,12,0,1.0,positive,1.0314100323685508e-05,0.00048828125,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,control,transfer,32,7,-1.0526452857142856,-1.217113,0.6731010755552032,-1.4661650714285714,-0.5756048285714306,1,6,0.8571428571428571,negative,0.006094804814634008,0.03125,0.03298350824587706
closed_context_false_belief_pressure,Closed-Context,degraded,transfer,32,12,-4.618675416666668,-3.680174,2.116721704809004,-5.843531472916666,-3.5826259916666676,0,12,1.0,negative,1.115747927631144e-05,0.00048828125,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,control,rescue,34,7,1.2702568571428567,1.482027,1.0484867561338782,0.5108155714285715,1.9183648142857126,6,1,0.8571428571428571,positive,0.018474616594892305,0.046875,0.049475262368815595
closed_context_false_belief_pressure,Closed-Context,degraded,rescue,34,12,5.826496249999999,5.0685715,2.1830098612909787,4.769782354166667,7.075271395833331,12,0,1.0,positive,1.6092197951463443e-06,0.00048828125,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,control,transfer,34,7,-1.5921684285714286,-1.752884,0.8150943638425875,-2.1137889714285714,-1.0302744285714287,0,7,1.0,negative,0.0020782803758578367,0.015625,0.018490754622688656
closed_context_false_belief_pressure,Closed-Context,degraded,transfer,34,12,-5.300718583333333,-4.545683,1.8798773520982914,-6.393451654166666,-4.372786227083334,0,12,1.0,negative,9.344718915342154e-07,0.00048828125,0.0004997501249375312
