condition,condition_label,patch_type,layer,n_degraded,mean_degraded,n_control,mean_control,real_minus_control_expected_signed,survives_control_expected_direction,p_mannwhitney_expected_ge_control
evidence_false_belief_pressure,False Belief,rescue,30,12,1.270184666666667,12,-0.5826539166666667,1.8528385833333336,True,3.0028801484024498e-05
evidence_false_belief_pressure,False Belief,rescue,32,12,2.2508171666666668,12,0.3981249166666667,1.85269225,True,1.82922767694855e-05
evidence_false_belief_pressure,False Belief,rescue,34,12,2.9965619999999995,12,0.9541724166666669,2.0423895833333328,True,2.3474362824769373e-05
evidence_false_belief_pressure,False Belief,rescue,35,12,-4.0823522500000005,12,-6.381892166666667,2.2995399166666664,True,0.00015402235281387344
evidence_false_belief_pressure,False Belief,transfer,8,12,0.08131125,12,0.11003633333333333,0.02872508333333333,True,0.03912611426311853
evidence_false_belief_pressure,False Belief,transfer,20,12,-0.8390048333333335,12,-0.33183433333333334,0.5071705000000002,True,0.004307779059410237
evidence_false_belief_pressure,False Belief,transfer,28,12,-1.2564632500000001,12,0.42141500000000004,1.6778782500000002,True,4.867283782356631e-05
evidence_false_belief_pressure,False Belief,transfer,30,12,-1.4597047499999996,12,0.33254675,1.7922514999999994,True,2.3474362824769373e-05
evidence_false_belief_pressure,False Belief,transfer,32,12,-2.198033666666667,12,-0.4185281666666667,1.7795055000000002,True,2.3474362824769373e-05
evidence_false_belief_pressure,False Belief,transfer,34,12,-2.8877393333333337,12,-1.1296203333333332,1.7581190000000004,True,3.0028801484024498e-05
evidence_false_belief_pressure,False Belief,transfer,35,12,-7.280066333333334,12,-5.766968833333333,1.5130975000000007,True,0.00019210101351748544
