anchor,layer_index,delta_type,n_families,mean_delta_norm,median_delta_norm,min_delta_norm,max_delta_norm,std_delta_norm
end_of_answer_choices,19,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,19,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,19,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,20,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,20,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,20,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,20,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,20,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,20,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,20,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,21,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,21,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,21,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,21,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,21,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,21,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,21,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,22,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,22,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,22,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,22,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,22,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,22,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,22,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,23,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,23,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,23,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,23,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,23,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,23,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,23,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,24,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,24,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,24,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,24,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,24,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,24,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,24,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,25,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,25,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,25,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,25,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,25,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,25,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,25,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,26,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,26,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,26,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,26,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,26,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,26,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
