layer_index,family_id,cosine_to_all8_mean_direction,cosine_to_leave_one_out_mean_direction
12,finance_coupon_006,0.953816294670105,0.938113272190094
12,finance_membership_008,0.8972627520561218,0.8683987259864807
12,finance_refund_005,0.9274847507476807,0.9033899307250977
12,policy_lab_access_002,0.9409052133560181,0.9226657748222351
12,policy_library_checkout_003,0.9638336896896362,0.9522720575332642
12,policy_lunch_pass_001,0.9763540625572205,0.968940019607544
12,policy_rec_center_004,0.9119064807891846,0.8846434950828552
12,__summary__,0.9401272758841515,0.9214628413319588
13,finance_budget_007,0.9512882828712463,0.9358344078063965
13,finance_coupon_006,0.9540321826934814,0.9390174150466919
13,finance_membership_008,0.906306803226471,0.8795326948165894
13,finance_refund_005,0.9300391674041748,0.906822919845581
13,policy_lab_access_002,0.943824291229248,0.9258183240890503
13,policy_library_checkout_003,0.9646496772766113,0.9534980058670044
13,policy_lunch_pass_001,0.9748148322105408,0.9669176340103149
13,policy_rec_center_004,0.9191575646400452,0.8941457867622375
13,__summary__,0.9430141001939774,0.9251983985304832
14,finance_budget_007,0.9465619325637817,0.9297980070114136
14,finance_coupon_006,0.95179283618927,0.9358506202697754
14,finance_membership_008,0.8985602259635925,0.8702291250228882
14,finance_refund_005,0.9167007207870483,0.888938307762146
14,policy_lab_access_002,0.936593234539032,0.916001558303833
14,policy_library_checkout_003,0.9591709971427917,0.9462717771530151
14,policy_lunch_pass_001,0.970639705657959,0.9613297581672668
14,policy_rec_center_004,0.9131041765213013,0.8857839107513428
14,__summary__,0.9366404786705971,0.9167753830552101
15,finance_budget_007,0.9298446774482727,0.9071407914161682
15,finance_coupon_006,0.9321949481964111,0.910400390625
15,finance_membership_008,0.879062294960022,0.8452576994895935
15,finance_refund_005,0.9024413824081421,0.8694294095039368
15,policy_lab_access_002,0.9346278309822083,0.9125109910964966
15,policy_library_checkout_003,0.9317516088485718,0.9100192785263062
15,policy_lunch_pass_001,0.956757664680481,0.9432417154312134
15,policy_rec_center_004,0.8906288146972656,0.8556153178215027
15,__summary__,0.9196636527776718,0.8942019492387772
16,finance_budget_007,0.9105547666549683,0.8815469741821289
16,finance_coupon_006,0.9088184237480164,0.8805027604103088
16,finance_membership_008,0.8615725040435791,0.8199001550674438
16,finance_refund_005,0.8873136043548584,0.8488548994064331
16,policy_lab_access_002,0.9256553053855896,0.8998534679412842
16,policy_library_checkout_003,0.9089505076408386,0.8806160688400269
16,policy_lunch_pass_001,0.9302963614463806,0.9076229929924011
16,policy_rec_center_004,0.8015192747116089,0.7355895042419434
16,__summary__,0.89183509349823,0.8568108528852463
17,finance_budget_007,0.8889337182044983,0.8533819913864136
17,finance_coupon_006,0.8684688210487366,0.8287093639373779
17,finance_membership_008,0.78497314453125,0.7104578018188477
17,finance_refund_005,0.8510071039199829,0.7983627319335938
17,policy_lab_access_002,0.9036234617233276,0.8695392608642578
17,policy_library_checkout_003,0.869349479675293,0.8277096748352051
17,policy_lunch_pass_001,0.9088936448097229,0.8788437247276306
17,policy_rec_center_004,0.8118239641189575,0.7523764371871948
17,__summary__,0.8608841672539711,0.8149226233363152
18,finance_budget_007,0.8903331756591797,0.8560823798179626
18,finance_coupon_006,0.8622720837593079,0.8208096027374268
18,finance_membership_008,0.7853907942771912,0.7105845808982849
18,finance_refund_005,0.8561405539512634,0.8049710392951965
18,policy_lab_access_002,0.8999559879302979,0.8610929846763611
18,policy_library_checkout_003,0.8581199049949646,0.8119828701019287
18,policy_lunch_pass_001,0.9025483727455139,0.8713172674179077
18,policy_rec_center_004,0.7974954843521118,0.7373821139335632
18,__summary__,0.8565320447087288,0.809277854859829
19,finance_budget_007,0.8986196517944336,0.8667586445808411
19,finance_coupon_006,0.873781144618988,0.8348060250282288
19,finance_membership_008,0.7981723546981812,0.7307530641555786
19,finance_refund_005,0.8550222516059875,0.8049384951591492
19,policy_lab_access_002,0.8958349823951721,0.8554673194885254
19,policy_library_checkout_003,0.852226734161377,0.8018378019332886
19,policy_lunch_pass_001,0.8865965604782104,0.8508050441741943
19,policy_rec_center_004,0.7946290969848633,0.7329549789428711
19,__summary__,0.8568603470921516,0.8097901716828346
20,finance_budget_007,0.8999794721603394,0.8681632280349731
20,finance_coupon_006,0.8823125958442688,0.8450904488563538
20,finance_membership_008,0.7785101532936096,0.7042974233627319
20,finance_refund_005,0.8398462533950806,0.7866101861000061
20,policy_lab_access_002,0.8897637128829956,0.8452552556991577
20,policy_library_checkout_003,0.8374873399734497,0.778994619846344
20,policy_lunch_pass_001,0.8634071946144104,0.8206902146339417
20,policy_rec_center_004,0.7545431852340698,0.6828431487083435
20,__summary__,0.843231238424778,0.7914930656552315
21,finance_budget_007,0.9136574268341064,0.8837710618972778
21,finance_coupon_006,0.9016016721725464,0.8700809478759766
21,finance_membership_008,0.7944028377532959,0.7269163727760315
21,finance_refund_005,0.8495274782180786,0.801224946975708
21,policy_lab_access_002,0.905323326587677,0.8683914542198181
21,policy_library_checkout_003,0.7961567640304565,0.7306531071662903
21,policy_lunch_pass_001,0.8757866621017456,0.8377503156661987
21,policy_rec_center_004,0.8006553649902344,0.7374385595321655
21,__summary__,0.8546389415860176,0.8070283457636833
22,finance_budget_007,0.9028706550598145,0.8684626221656799
22,finance_coupon_006,0.8871778249740601,0.8505339622497559
22,finance_membership_008,0.7835817337036133,0.7124201059341431
22,finance_refund_005,0.8147900104522705,0.7561180591583252
22,policy_lab_access_002,0.8987594842910767,0.8596307635307312
22,policy_library_checkout_003,0.7874888777732849,0.7154073119163513
22,policy_lunch_pass_001,0.872069776058197,0.8306599855422974
22,policy_rec_center_004,0.7723875641822815,0.7041135430335999
22,__summary__,0.8398907408118248,0.7871682941913605
23,finance_budget_007,0.8878328204154968,0.848381519317627
23,finance_coupon_006,0.874565839767456,0.8348012566566467
23,finance_membership_008,0.7835355997085571,0.709466814994812
23,finance_refund_005,0.7982460856437683,0.734109103679657
23,policy_lab_access_002,0.8892759680747986,0.8468179106712341
