analysis_kind,metric_name,layer_index,all_8_families_mean,all_8_families_median,excluding_policy_library_checkout_003_mean,excluding_policy_library_checkout_003_median,policy_library_checkout_003_alone_mean,policy_library_checkout_003_alone_median
delta_norm,distractor_delta,24,270.8783435821533,260.3201599121094,254.6499306815011,259.5545959472656,384.47723388671875,384.47723388671875
delta_norm,emotional_pressure_delta,24,284.52923583984375,293.0857238769531,283.7986624581473,296.5281982421875,289.64324951171875,289.64324951171875
delta_norm,false_pressure_delta,24,330.4673385620117,333.46189880371094,329.21956961495533,331.18658447265625,339.20172119140625,339.20172119140625
delta_norm,true_pressure_delta,24,373.2515563964844,357.0599365234375,355.4653102329799,355.40838623046875,497.7552795410156,497.7552795410156
delta_norm,closed_context_delta,25,526.1157073974609,528.0248413085938,530.0598231724331,529.1066284179688,498.50689697265625,498.50689697265625
delta_norm,distractor_delta,25,318.28111457824707,313.36248779296875,303.19590759277344,307.2397155761719,423.8775634765625,423.8775634765625
delta_norm,emotional_pressure_delta,25,326.1112174987793,333.5103454589844,325.61282784598217,337.4207458496094,329.5999450683594,329.5999450683594
delta_norm,false_pressure_delta,25,383.83165740966797,391.06524658203125,382.63207571847096,389.9017639160156,392.2287292480469,392.2287292480469
delta_norm,true_pressure_delta,25,427.61168670654297,412.2229461669922,410.3139386858259,409.7165222167969,548.6959228515625,548.6959228515625
delta_norm,closed_context_delta,26,596.9769821166992,589.1148986816406,600.9811575753348,589.8666381835938,568.94775390625,568.94775390625
delta_norm,distractor_delta,26,351.77289962768555,347.53367614746094,337.2653067452567,336.2563171386719,453.3260498046875,453.3260498046875
delta_norm,emotional_pressure_delta,26,376.2386283874512,379.4114074707031,376.3422110421317,383.30926513671875,375.5135498046875,375.5135498046875
delta_norm,false_pressure_delta,26,434.0867385864258,441.7809295654297,433.6314217703683,446.28790283203125,437.2739562988281,437.2739562988281
delta_norm,true_pressure_delta,26,477.3291435241699,464.88389587402344,462.4889831542969,463.94573974609375,581.2102661132812,581.2102661132812
delta_norm,closed_context_delta,27,39.46235466003418,38.827659606933594,39.42617525373186,37.9397087097168,39.71561050415039,39.71561050415039
delta_norm,distractor_delta,27,23.311626195907593,23.078651428222656,22.522066388811385,22.8593692779541,28.838544845581055,28.838544845581055
delta_norm,emotional_pressure_delta,27,26.440298318862915,27.079221725463867,26.292781012398855,26.685523986816406,27.472919464111328,27.472919464111328
delta_norm,false_pressure_delta,27,30.364041090011597,30.445183753967285,30.325597763061523,30.25722312927246,30.63314437866211,30.63314437866211
delta_norm,true_pressure_delta,27,33.095999002456665,32.56852149963379,32.32852908543178,32.56138610839844,38.46828842163086,38.46828842163086
delta_cosine,"cosine(false_pressure_delta, closed_context_delta)",0,0.53996242582798,0.5652803778648376,0.5331208535603115,0.5623565912246704,0.5878534317016602,0.5878534317016602
delta_cosine,"cosine(false_pressure_delta, distractor_delta)",0,0.24003551341593266,0.20242756605148315,0.25539147215230124,0.20509594678878784,0.13254380226135254,0.13254380226135254
delta_cosine,"cosine(false_pressure_delta, emotional_pressure_delta)",0,0.7903561592102051,0.8092546164989471,0.7989268388066973,0.8145611882209778,0.7303614020347595,0.7303614020347595
delta_cosine,"cosine(false_pressure_delta, true_pressure_delta)",0,0.8447315394878387,0.8566161394119263,0.8456042749541146,0.861690104007721,0.8386223912239075,0.8386223912239075
delta_cosine,"cosine(false_pressure_delta, closed_context_delta)",1,0.7343047559261322,0.7362541258335114,0.7328050306865147,0.7324231863021851,0.7448028326034546,0.7448028326034546
delta_cosine,"cosine(false_pressure_delta, distractor_delta)",1,-0.0617610951885581,-0.06856156513094902,-0.06257245263883046,-0.08104153722524643,-0.05608159303665161,-0.05608159303665161
delta_cosine,"cosine(false_pressure_delta, emotional_pressure_delta)",1,0.9237915202975273,0.9198963046073914,0.9265415327889579,0.923331618309021,0.9045414328575134,0.9045414328575134
delta_cosine,"cosine(false_pressure_delta, true_pressure_delta)",1,0.9501406103372574,0.9480611979961395,0.948836658682142,0.9473567008972168,0.9592682719230652,0.9592682719230652
