condition,layer,layer_bucket,n_families,pearson_r,spearman_rho,r2,mse,mae,baseline_mse,absolute_mse_improvement,relative_mse_improvement,mean_alpha_used,alpha_values_used_json
false_pressure_delta,32,late,36,0.8816064716674066,0.8957528957528957,0.7726530188793763,0.7501157924166737,0.6241976742943128,3.4906638670555115,2.7405480746388378,0.7851079849033357,1.0,"{""1.0"": 36}"
false_pressure_delta,33,late,36,0.8855350108607724,0.8998712998712999,0.7774618870208438,0.7342492613601194,0.6195297605461545,3.4906638670555115,2.756414605695392,0.7896534042449975,1.0,"{""1.0"": 36}"
false_pressure_delta,34,late,36,0.8780907226267891,0.9127413127413128,0.7676183912346433,0.7667272014911936,0.637571450529827,3.4906638670555115,2.723936665564318,0.7803491740561223,1.0,"{""1.0"": 36}"
false_pressure_delta,35,late,36,0.9435885471524526,0.9706563706563707,0.8789685261767753,0.3993350580102789,0.44524502298898166,3.4906638670555115,3.0913288090452324,0.8855991085881519,1.0,"{""1.0"": 36}"
emotional_pressure_delta,0,early,36,0.2537894590694201,0.2648648648648649,-0.19339794522580656,2.964550368501866,1.3412096665965185,2.628103478848259,-0.3364468896536068,-0.12801888980454126,1.0,"{""1.0"": 36}"
emotional_pressure_delta,1,early,36,0.11753013920192194,0.11016731016731017,-0.3267138510165688,3.2957238209284014,1.3402006046639547,2.628103478848259,-0.6676203420801423,-0.25403122344814233,1.0,"{""1.0"": 36}"
emotional_pressure_delta,2,early,36,0.15703757289552633,0.2344916344916345,-0.4013213734270409,3.4810582761617113,1.3221247113413281,2.628103478848259,-0.8529547973134521,-0.32455145095247595,1.0,"{""1.0"": 36}"
emotional_pressure_delta,3,early,36,0.030757814173249895,0.09523809523809523,-0.6661180253939076,4.138846414063945,1.5246611568662856,2.628103478848259,-1.5107429352156858,-0.5748414959207596,1.0,"{""1.0"": 36}"
emotional_pressure_delta,4,early,36,0.13830306892204375,0.14105534105534107,-0.3801089548868781,3.428363964552053,1.3508516715632544,2.628103478848259,-0.8002604857037938,-0.3045011325256113,1.0,"{""1.0"": 36}"
emotional_pressure_delta,5,early,36,0.18420809180262754,0.1806949806949807,-0.3041766935670793,3.2397386915009942,1.2956578847434785,2.628103478848259,-0.6116352126527351,-0.23272874054440898,1.0,"{""1.0"": 36}"
emotional_pressure_delta,6,early,36,0.10236875297061356,0.1523809523809524,-0.4992988629527111,3.724446664620227,1.371313053700659,2.628103478848259,-1.096343185771968,-0.41716134642172836,1.0,"{""1.0"": 36}"
emotional_pressure_delta,7,early,36,0.2199550398461408,0.26692406692406695,-0.24454581402734532,3.0916080979962772,1.319696706202295,2.628103478848259,-0.4635046191480181,-0.17636467623076413,1.0,"{""1.0"": 36}"
emotional_pressure_delta,8,early,36,0.4095241091030287,0.41364221364221365,0.10817487495362166,2.2154056102344053,1.0915660485625267,2.628103478848259,0.4126978686138538,0.15703257955227648,1.0,"{""1.0"": 36}"
emotional_pressure_delta,9,early,36,0.4575999928668284,0.5487773487773487,0.17141062739148993,2.058320059733726,1.113514890273412,2.628103478848259,0.569783419114533,0.21680402758122563,1.0,"{""1.0"": 36}"
emotional_pressure_delta,10,early,36,0.3059277961538659,0.3866151866151866,-0.09290353464188783,2.7149096320478043,1.3297230568197038,2.628103478848259,-0.08680615319954521,-0.03302996015879373,1.0,"{""1.0"": 36}"
emotional_pressure_delta,11,early,36,0.45941310505996485,0.5075933075933076,0.15857925359430036,2.090194803670583,1.1952239473660786,2.628103478848259,0.5379086751776763,0.2046756071467207,1.0,"{""1.0"": 36}"
emotional_pressure_delta,12,middle,36,0.464475985450985,0.4756756756756757,0.15755526081728388,2.0927385303265504,1.204117649131351,2.628103478848259,0.5353649485217087,0.20370771274056804,1.0,"{""1.0"": 36}"
emotional_pressure_delta,13,middle,36,0.5686784996441383,0.6337194337194337,0.2999015991978242,1.7391323492625501,1.079085037112236,2.628103478848259,0.888971129585709,0.3382557561908833,1.0,"{""1.0"": 36}"
emotional_pressure_delta,14,middle,36,0.6712136691691079,0.7081081081081081,0.45035841481017236,1.365378724202631,0.910586890247133,2.628103478848259,1.2627247546456282,0.48046995287986344,1.0,"{""1.0"": 36}"
emotional_pressure_delta,15,middle,36,0.6434079723984253,0.6710424710424711,0.4138003124148558,1.4561936416920842,0.933171754082044,2.628103478848259,1.171909837156175,0.4459146478013693,1.0,"{""1.0"": 36}"
emotional_pressure_delta,16,middle,36,0.5271466100295912,0.6082368082368083,0.24399769784331038,1.8780046609036245,1.027140128115813,2.628103478848259,0.7500988179446346,0.28541449146947523,1.0,"{""1.0"": 36}"
emotional_pressure_delta,17,middle,36,0.6729750603253205,0.7176319176319176,0.45251643377190076,1.3600179340874652,0.8678664200835757,2.628103478848259,1.268085544760794,0.4825097470349684,1.0,"{""1.0"": 36}"
emotional_pressure_delta,18,middle,36,0.6445746536627486,0.6594594594594595,0.4150290899745497,1.4531412039181044,0.9290120005607605,2.628103478848259,1.1749622749301547,0.44707610807055076,1.0,"{""1.0"": 36}"
emotional_pressure_delta,19,middle,36,0.6329985738806809,0.6658944658944659,0.3920602233182102,1.5101987532314118,0.9014654292000664,2.628103478848259,1.1179047256168473,0.42536556669631526,1.0,"{""1.0"": 36}"
emotional_pressure_delta,20,middle,36,0.5965835807105202,0.5974259974259974,0.34424107548371685,1.6289875218071523,0.9708889275789261,2.628103478848259,0.9991159570411068,0.3801661407483695,1.0,"{""1.0"": 36}"
emotional_pressure_delta,21,middle,36,0.6883579358665326,0.736936936936937,0.46864790722818783,1.3199453281552793,0.8472163445419736,2.628103478848259,1.3081581506929798,0.4977574746281556,1.0,"{""1.0"": 36}"
emotional_pressure_delta,22,middle,36,0.6708743447641026,0.7647361647361647,0.44240134659218844,1.385145080942382,0.8340529849131902,2.628103478848259,1.2429583979058771,0.4729488043030146,1.0,"{""1.0"": 36}"
emotional_pressure_delta,23,middle,36,0.5933607049811023,0.7117117117117117,0.3280803298854471,1.6691328434161572,0.8795406834946738,2.628103478848259,0.9589706354321019,0.3648907446568129,1.0,"{""1.0"": 36}"
emotional_pressure_delta,24,late,36,0.5998946662088709,0.6952380952380952,0.3383737258432751,1.643562755163541,0.8921304825279448,2.628103478848259,0.9845407236847181,0.3746202277073898,1.0,"{""1.0"": 36}"
emotional_pressure_delta,25,late,36,0.6612253038130479,0.7534105534105534,0.42663548338020385,1.4243094651126558,0.8348675237761604,2.628103478848259,1.2037940137356034,0.45804665738015554,1.0,"{""1.0"": 36}"
emotional_pressure_delta,26,late,36,0.723573772100964,0.7752895752895753,0.5186834609142645,1.1956507290974714,0.7730325129297044,2.628103478848259,1.4324527497507877,0.5450518829565061,1.0,"{""1.0"": 36}"
emotional_pressure_delta,27,late,36,0.7197883884952029,0.7657657657657657,0.5110470787794876,1.21462046133326,0.8050475716590881,2.628103478848259,1.413483017514999,0.5378338520119628,1.0,"{""1.0"": 36}"
emotional_pressure_delta,28,late,36,0.7340111237710746,0.7904761904761904,0.5310432470468919,1.1649474681435976,0.8039571940898895,2.628103478848259,1.4631560107046615,0.5567345511622988,1.0,"{""1.0"": 36}"
emotional_pressure_delta,29,late,36,0.7664682869311733,0.8054054054054054,0.5787249686145134,1.0465000836734077,0.7779778954055574,2.628103478848259,1.5816033951748514,0.6018040795973428,1.0,"{""1.0"": 36}"
emotional_pressure_delta,30,late,36,0.7855598700547823,0.8120978120978121,0.6064634708385105,0.9775941606166347,0.7587581127882004,2.628103478848259,1.6505093182316244,0.6280229570545465,1.0,"{""1.0"": 36}"
emotional_pressure_delta,31,late,36,0.8292356770288938,0.8396396396396396,0.6699260105765283,0.8199452419813616,0.6880032370487849,2.628103478848259,1.8081582368668974,0.6880087680791417,1.0,"{""1.0"": 36}"
emotional_pressure_delta,32,late,36,0.8426791985729264,0.8622908622908623,0.6902169910287713,0.7695398983006507,0.6612320492664973,2.628103478848259,1.8585635805476084,0.707188128437814,1.0,"{""1.0"": 36}"
emotional_pressure_delta,33,late,36,0.8384101509017582,0.8584298584298584,0.683468599213914,0.7863037510637331,0.6550009217527177,2.628103478848259,1.841799727784526,0.7008094401943704,1.0,"{""1.0"": 36}"
emotional_pressure_delta,34,late,36,0.8459068065089841,0.8867438867438867,0.6942271981381611,0.7595780402201421,0.6297954652044508,2.628103478848259,1.868525438628117,0.7109786405545112,1.0,"{""1.0"": 36}"
emotional_pressure_delta,35,late,36,0.8670367197590715,0.9405405405405406,0.7363878456474136,0.6548456970735462,0.49289527866575455,2.628103478848259,1.9732577817747128,0.7508295611858761,1.0,"{""1.0"": 36}"
closed_context_delta,0,early,36,0.1408580587629861,0.2072072072072072,-0.2989560716454165,7.731942483300723,2.1260450879732766,6.297425870462713,-1.43451661283801,-0.22779412451148182,1.0,"{""1.0"": 36}"
closed_context_delta,1,early,36,0.10701974132611017,0.15907335907335907,-0.2611928357423121,7.507159540782691,2.1376784609423742,6.297425870462713,-1.2097336703199781,-0.192099707913051,1.0,"{""1.0"": 36}"
closed_context_delta,2,early,36,0.3923571010590633,0.30244530244530243,0.11931538781368167,5.242211739098301,1.694507059123781,6.297425870462713,1.0552141313644121,0.16756277137199213,1.0,"{""1.0"": 36}"
closed_context_delta,3,early,36,0.2926412894152615,0.2283140283140283,0.014339797021719725,5.8670713843716085,1.8063888781600528,6.297425870462713,0.4303544860911046,0.0683381583115775,1.0,"{""1.0"": 36}"
closed_context_delta,4,early,36,0.1305727074723961,0.10012870012870013,-0.14106235038057902,6.792091476832435,1.9381129228406482,6.297425870462713,-0.4946656063697219,-0.07855044530018034,1.0,"{""1.0"": 36}"
closed_context_delta,5,early,36,0.23084433990941497,0.17863577863577865,-0.08518178695088041,6.459466446776137,1.897035739488072,6.297425870462713,-0.16204057631342383,-0.025731239977504913,1.0,"{""1.0"": 36}"
closed_context_delta,6,early,36,0.18079152871323445,0.1799227799227799,-0.2401987582723366,7.3821938063508945,1.9299319717619154,6.297425870462713,-1.0847679358881814,-0.17225576897636055,1.0,"{""1.0"": 36}"
closed_context_delta,7,early,36,0.17732326970197046,0.19536679536679535,-0.26136482036777187,7.508183266881744,2.0465657545460596,6.297425870462713,-1.210757396419031,-0.19226227054103756,1.0,"{""1.0"": 36}"
closed_context_delta,8,early,36,0.31522878112583613,0.25997425997426,0.02307967185595361,5.815047908747876,1.8115139272477891,6.297425870462713,0.48237796171483716,0.07659922826203808,1.0,"{""1.0"": 36}"
closed_context_delta,9,early,36,0.3209723663475962,0.2885456885456886,0.03748418599249104,5.729306075567545,1.8125210503737132,6.297425870462713,0.5681197948951677,0.09021460618692828,1.0,"{""1.0"": 36}"
closed_context_delta,10,early,36,0.3180403709537911,0.29987129987129985,0.057010628423299514,5.613076333027255,1.803472939464781,6.297425870462713,0.684349537435458,0.10867131293205272,1.0,"{""1.0"": 36}"
closed_context_delta,11,early,36,0.11664852761741147,0.03963963963963964,-0.23106746698732805,7.327840452488423,2.068710529141956,6.297425870462713,-1.0304145820257098,-0.16362472591519342,1.0,"{""1.0"": 36}"
closed_context_delta,12,middle,36,0.06806343285529397,0.044272844272844274,-0.3187651470633057,7.849854578345224,2.1587971680694156,6.297425870462713,-1.5524287078825107,-0.24651798049167725,1.0,"{""1.0"": 36}"
closed_context_delta,13,middle,36,0.20144305443530985,0.1758043758043758,-0.09660499771637499,6.527462286313299,1.924702422486411,6.297425870462713,-0.2300364158505861,-0.03652864211225464,1.0,"{""1.0"": 36}"
closed_context_delta,14,middle,36,0.29017543057568385,0.18352638352638354,-0.013034581844031612,6.030015403439136,1.9347625573476155,6.297425870462713,0.26741046702357707,0.04246345610479233,1.0,"{""1.0"": 36}"
closed_context_delta,15,middle,36,0.2820871069125629,0.21776061776061775,-0.02642001561006624,6.109691234094372,1.8860644002755482,6.297425870462713,0.18773463636834098,0.02981132930026009,1.0,"{""1.0"": 36}"
closed_context_delta,16,middle,36,0.22902772697620136,0.15984555984555984,-0.09912040018163637,6.542435038362657,2.0222961372799344,6.297425870462713,-0.2450091678999442,-0.03890624088949248,1.0,"{""1.0"": 36}"
closed_context_delta,17,middle,36,0.19795178506016986,0.16061776061776062,-0.14833489701063085,6.835380786977814,2.022551291518741,6.297425870462713,-0.5379549165151012,-0.08542457308442665,1.0,"{""1.0"": 36}"
closed_context_delta,18,middle,36,0.1271687464774627,0.16319176319176318,-0.2149334927303861,7.231804132473605,2.049948457214567,6.297425870462713,-0.9343782620108918,-0.14837463453019367,1.0,"{""1.0"": 36}"
closed_context_delta,19,middle,36,0.19891944125755956,0.32664092664092664,-0.13571266893397582,6.760247883232905,1.8525001506010692,6.297425870462713,-0.4628220127701921,-0.07349384054538867,1.0,"{""1.0"": 36}"
closed_context_delta,20,middle,36,0.15794226831298103,0.33796653796653797,-0.1602566338503959,6.906344067074998,1.672984566953447,6.297425870462713,-0.6089181966122847,-0.09669319006490243,1.0,"{""1.0"": 36}"
closed_context_delta,21,middle,36,0.3633558509231903,0.5423423423423424,0.0653479240203122,5.563449181324795,1.508038393325276,6.297425870462713,0.7339766891379185,0.11655185852691718,1.0,"{""1.0"": 36}"
closed_context_delta,22,middle,36,0.43004918425146565,0.6033462033462034,0.14809932923375502,5.070877400423716,1.3255270885096655,6.297425870462713,1.2265484700389973,0.19476981472572297,1.0,"{""1.0"": 36}"
closed_context_delta,23,middle,36,0.45805329446229254,0.6558558558558558,0.16784381889954847,4.9533497474179775,1.3197801378038194,6.297425870462713,1.3440761230447356,0.21343262321656792,1.0,"{""1.0"": 36}"
