anchor,layer_index,layer_bucket,cosine_pair,n_families,mean_cosine,median_cosine,std_cosine,min_cosine,max_cosine
end_of_answer_choices,16,middle,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,middle,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,middle,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,middle,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,middle,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,middle,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,middle,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,middle,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,middle,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,middle,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,middle,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,middle,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,middle,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,middle,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,middle,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,middle,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,middle,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,middle,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,middle,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,middle,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,middle,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,middle,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,middle,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,middle,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,middle,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,middle,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,middle,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,middle,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,middle,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,middle,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,middle,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,middle,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
