delta_type,behavior_delta_name,sensitivity_threshold,layer_index,layer_bucket,high_sensitivity_n,low_sensitivity_n,high_sensitivity_mean_behavior_delta,low_sensitivity_mean_behavior_delta,high_sensitivity_mean_delta_norm,high_sensitivity_std_delta_norm,low_sensitivity_mean_delta_norm,low_sensitivity_std_delta_norm,mean_delta_norm_gap_high_minus_low,abs_mean_delta_norm_gap,separation_rank_by_abs_gap,is_top3_separation_layer,top3_separating_layers,high_sensitivity_has_any_flip,low_sensitivity_has_any_flip,high_sensitivity_flip_family_ids,low_sensitivity_flip_family_ids
emotional_pressure_delta,delta_emotional_pressure,0.90625,9,early,18,18,-2.115451388888889,0.16927083333333334,3.806152900060018,0.23771305810945306,3.735562218560113,0.18314258047793255,0.0705906814999051,0.0705906814999051,27,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,10,early,18,18,-2.115451388888889,0.16927083333333334,4.174158970514934,0.2671351941795778,4.060700350337559,0.16895625335051828,0.11345862017737485,0.11345862017737485,24,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,11,early,18,18,-2.115451388888889,0.16927083333333334,4.153695821762085,0.3029480701667153,3.99842541747623,0.16739409810348516,0.1552704042858548,0.1552704042858548,21,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,12,middle,18,18,-2.115451388888889,0.16927083333333334,4.546858840518528,0.30877755605566937,4.3881577253341675,0.16565947848898205,0.15870111518436048,0.15870111518436048,20,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,13,middle,18,18,-2.115451388888889,0.16927083333333334,5.340849585003323,0.30167697573704094,5.195551607343885,0.15206779497550518,0.1452979776594372,0.1452979776594372,22,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,14,middle,18,18,-2.115451388888889,0.16927083333333334,6.169361458884345,0.23401546991749037,6.047927406099108,0.20210323427446542,0.12143405278523733,0.12143405278523733,23,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,15,middle,18,18,-2.115451388888889,0.16927083333333334,7.325032869974772,0.2796710206989621,7.152733617358738,0.2903008487347479,0.17229925261603452,0.17229925261603452,18,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,16,middle,18,18,-2.115451388888889,0.16927083333333334,6.834997600979275,0.24642106944092276,6.752444903055827,0.21578608885326067,0.08255269792344766,0.08255269792344766,25,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,17,middle,18,18,-2.115451388888889,0.16927083333333334,8.295527272754246,0.23949674216930594,8.215135150485569,0.26504516573519227,0.08039212226867676,0.08039212226867676,26,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,18,middle,18,18,-2.115451388888889,0.16927083333333334,10.969245115915934,0.4595093142006659,10.799715677897135,0.4068144220652332,0.16952943801879883,0.16952943801879883,19,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,19,middle,18,18,-2.115451388888889,0.16927083333333334,13.999880419837105,0.9177588810220809,14.3667205174764,1.0797843110687866,-0.3668400976392956,0.3668400976392956,16,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,20,middle,18,18,-2.115451388888889,0.16927083333333334,19.096003903283012,2.0390022285020897,18.170472780863445,1.1836745579660832,0.9255311224195673,0.9255311224195673,15,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,21,middle,18,18,-2.115451388888889,0.16927083333333334,21.839761628044975,1.9822831723222742,20.75621509552002,1.4844113634059184,1.0835465325249558,1.0835465325249558,14,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,22,middle,18,18,-2.115451388888889,0.16927083333333334,22.72081682417128,2.047775231795772,21.12851577334934,1.471877094257993,1.5923010508219413,1.5923010508219413,13,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,23,middle,18,18,-2.115451388888889,0.16927083333333334,26.274831983778213,2.3181043798178504,24.384445084465874,1.300471980222176,1.8903868993123396,1.8903868993123396,12,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,24,late,18,18,-2.115451388888889,0.16927083333333334,30.28137281205919,2.5034717046956243,27.631629943847656,1.581169172715829,2.6497428682115327,2.6497428682115327,9,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,25,late,18,18,-2.115451388888889,0.16927083333333334,31.82237932417128,2.561269479891378,29.379086388481987,1.6524192922452596,2.4432929356892927,2.4432929356892927,10,False,"33,34,32",True,False,logic_tournament_036,
