layer_index,hidden_metric,behavior_metric,scope_type,scope_label,excluded_family_id,n_families,pearson_correlation,spearman_correlation,mean_hidden_metric,mean_abs_behavior_metric
1,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_refund_005,finance_refund_005,7,-0.34775852430508225,-0.17857142857142858,0.9486494064331055,3.5418578556605746
1,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_lab_access_002,policy_lab_access_002,7,-0.34753459370925677,-0.14285714285714285,0.9694913881165641,3.5048697335379466
1,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_library_checkout_003,policy_library_checkout_003,7,-0.4039359771153088,-0.10714285714285714,0.9413505622318813,3.5268096923828125
1,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_lunch_pass_001,policy_lunch_pass_001,7,-0.3807548921253136,-0.17857142857142858,0.9494463290487017,3.672877175467355
1,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_rec_center_004,policy_rec_center_004,7,-0.3956972722235566,-0.25,0.9451027342251369,3.4954798562186107
1,distractor_delta_norm,abs(delta_distractor),all_8_families,all 8 families,,8,-0.3391408240656682,-0.09523809523809523,0.6709177419543266,1.4745821952819824
1,distractor_delta_norm,abs(delta_distractor),excluding_policy_library_checkout_003,excluding policy_library_checkout_003,policy_library_checkout_003,7,0.23469776876468992,0.35714285714285715,0.677031397819519,0.8234263828822544
1,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_budget_007,finance_budget_007,7,-0.46446384321428785,-0.39285714285714285,0.6762670789446149,1.632464817592076
1,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_coupon_006,finance_coupon_006,7,-0.3337365409655443,-0.07142857142857142,0.6697058847972325,1.5436771937779017
1,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_membership_008,finance_membership_008,7,-0.3048399590529041,-0.07142857142857142,0.6646956375667027,1.5803143637520927
