layer_index,layer_bucket,delta_type,n_families,mean_cosine_to_leave_one_out_mean_direction,median_cosine_to_leave_one_out_mean_direction,std_cosine_to_leave_one_out_mean_direction,min_cosine_to_leave_one_out_mean_direction,max_cosine_to_leave_one_out_mean_direction
16,middle,false_pressure_delta,36,0.9258221586545309,0.9336711764335632,0.02663471786127235,0.8212754726409912,0.9661293029785156
16,middle,emotional_pressure_delta,36,0.9666416280799441,0.9709340631961823,0.012138367672242975,0.9155034422874451,0.9806560277938843
16,middle,closed_context_delta,36,0.9509643630848991,0.9523488283157349,0.014363308055475527,0.9076846837997437,0.9691559672355652
17,middle,false_pressure_delta,36,0.9299497885836495,0.9340407848358154,0.025542812401583695,0.8226523995399475,0.9651076197624207
17,middle,emotional_pressure_delta,36,0.9617848346630732,0.9645810723304749,0.012340513060357801,0.9157013297080994,0.976783275604248
17,middle,closed_context_delta,36,0.9470379932059182,0.9465871751308441,0.014709007531970535,0.9061021208763123,0.9680858254432678
18,middle,false_pressure_delta,36,0.9208058880435096,0.9261687099933624,0.029329307701367255,0.7972872853279114,0.9584150314331055
18,middle,emotional_pressure_delta,36,0.9622436198923323,0.9661270976066589,0.011716052208740411,0.9202014803886414,0.9764456152915955
18,middle,closed_context_delta,36,0.9418896403577592,0.9456509649753571,0.01634784677595511,0.8877597451210022,0.9652986526489258
19,middle,false_pressure_delta,36,0.8315859172079298,0.8292736113071442,0.04467036669417332,0.7072200179100037,0.9035868048667908
19,middle,emotional_pressure_delta,36,0.893245110909144,0.9069640636444092,0.04079394074732686,0.7689486145973206,0.9421089887619019
19,middle,closed_context_delta,36,0.8783454464541541,0.8795210719108582,0.03472392405863195,0.7766894102096558,0.9254361391067505
20,middle,false_pressure_delta,36,0.7969938003354602,0.8048049509525299,0.049066761083605796,0.6926870942115784,0.8788022398948669
20,middle,emotional_pressure_delta,36,0.8712709430191252,0.8925133943557739,0.05617008431230475,0.6787610650062561,0.9277466535568237
20,middle,closed_context_delta,36,0.8458865533272425,0.8604856133460999,0.04759413236551218,0.7271663546562195,0.9073264598846436
21,middle,false_pressure_delta,36,0.7720682786570655,0.7809913754463196,0.05797680818224731,0.5844396948814392,0.875781238079071
21,middle,emotional_pressure_delta,36,0.8511660777860217,0.8768334686756134,0.07494852994895022,0.6272989511489868,0.9179877638816833
21,middle,closed_context_delta,36,0.807433158159256,0.8308269083499908,0.06591228363487561,0.6301984786987305,0.8967121839523315
22,middle,false_pressure_delta,36,0.7632153497801887,0.7723582983016968,0.05691699837343694,0.5949652791023254,0.8768509030342102
22,middle,emotional_pressure_delta,36,0.8455616666211022,0.87147656083107,0.07125155738872176,0.628800094127655,0.9172806143760681
22,middle,closed_context_delta,36,0.7892816993925307,0.8070901930332184,0.06545664822823698,0.6142280697822571,0.8947640657424927
23,middle,false_pressure_delta,36,0.7629143248001734,0.7685438990592957,0.06715213570234539,0.5206661820411682,0.8760470151901245
23,middle,emotional_pressure_delta,36,0.8402174396647347,0.8541013896465302,0.07348861936383444,0.6200339198112488,0.9173006415367126
23,middle,closed_context_delta,36,0.7810918324523501,0.8006539344787598,0.07912044787720512,0.5527949333190918,0.8953402042388916
24,late,false_pressure_delta,36,0.7601685101787249,0.7862060070037842,0.09639980115943837,0.4001387059688568,0.874513566493988
24,late,emotional_pressure_delta,36,0.8306469668944677,0.8567020297050476,0.08465040112147168,0.5312723517417908,0.9158780574798584
24,late,closed_context_delta,36,0.7606549776262708,0.7997767329216003,0.11763558141985583,0.3065553307533264,0.8718000054359436
25,late,false_pressure_delta,36,0.757713665564855,0.776912659406662,0.08560191758231944,0.49112993478775024,0.8711323142051697
