delta_type,behavior_delta_name,behavior_metric,layer_index,layer_bucket,n_families,projection_mean,projection_median,projection_std,projection_min,projection_max,degradation_mean,degradation_std,pearson_correlation,spearman_correlation
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,8,early,36,0.1729305498301983,0.3688880056142807,1.1449671864746718,-2.6221303939819336,2.0601539611816406,0.9730902777777778,1.5761109049593773,0.06315404885872201,0.047361647361647365
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,9,early,36,0.1683100387454033,0.31009557843208313,1.101118001312426,-2.2857303619384766,2.6181211471557617,0.9730902777777778,1.5761109049593773,-0.002528484433514063,0.15418275418275418
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,10,early,36,-0.1936500126288997,-0.19398728013038635,1.0108957466767374,-2.633269786834717,1.874466896057129,0.9730902777777778,1.5761109049593773,0.004202221124524029,0.00797940797940798
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,11,early,36,0.05269739735457632,0.11692160367965698,1.1331896503386967,-2.995990037918091,2.4996800422668457,0.9730902777777778,1.5761109049593773,-0.08977683836838557,0.03732303732303732
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,12,middle,36,-0.25143690779805183,-0.2840888351202011,1.0378816357424052,-2.2090983390808105,2.297813892364502,0.9730902777777778,1.5761109049593773,0.09524248308634031,0.20077220077220076
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,13,middle,36,-0.33468777272436356,-0.33908437192440033,1.066306582401167,-2.67706298828125,2.4035089015960693,0.9730902777777778,1.5761109049593773,-0.016602307834048074,-0.018275418275418277
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,14,middle,36,-0.0960142258554697,-0.22729986906051636,1.251153770449629,-2.908595323562622,3.2564144134521484,0.9730902777777778,1.5761109049593773,-0.07167078069462232,-0.11325611325611326
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,15,middle,36,0.19744220044877794,0.13379087299108505,0.8755319984318545,-1.719373345375061,1.7905322313308716,0.9730902777777778,1.5761109049593773,-0.002335775764973611,0.054826254826254826
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,16,middle,36,0.09099737720357047,0.10472118854522705,1.0186348131803526,-2.8047046661376953,1.759972095489502,0.9730902777777778,1.5761109049593773,-0.03476434722263039,-0.0435006435006435
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,17,middle,36,0.11598626648386319,0.20332269370555878,0.936524403115352,-2.660402774810791,1.824845314025879,0.9730902777777778,1.5761109049593773,0.29861002195418695,0.244015444015444
