layer_index,delta_type,n_families,mean_delta_norm,median_delta_norm,min_delta_norm,max_delta_norm
18,true_pressure_delta,36,9.615017731984457,9.498091697692871,8.61960220336914,11.426348686218262
19,closed_context_delta,36,15.103374560674032,15.121250629425049,12.817620277404785,17.84540367126465
19,distractor_delta,36,9.63374792204963,9.527047634124756,8.7725830078125,11.440232276916504
19,emotional_pressure_delta,36,14.183300468656752,13.98747730255127,12.465317726135254,17.294586181640625
19,false_pressure_delta,36,11.94827546013726,11.679272174835205,10.049890518188477,15.199677467346191
19,true_pressure_delta,36,12.49133692847358,12.336557865142822,9.891401290893555,14.823598861694336
20,closed_context_delta,36,19.049907154507107,18.725540161132812,15.813344955444336,22.98495101928711
20,distractor_delta,36,10.613651567035252,10.528617858886719,9.521547317504883,12.802058219909668
20,emotional_pressure_delta,36,18.633238342073227,18.30824565887451,15.711283683776855,22.756460189819336
20,false_pressure_delta,36,15.149084409077963,14.724203109741211,12.491682052612305,20.378751754760742
20,true_pressure_delta,36,15.521945264604357,15.346537590026855,12.217560768127441,18.212360382080078
21,closed_context_delta,36,21.643214066823322,21.042502403259277,17.98421859741211,27.41672134399414
21,distractor_delta,36,11.487454308403862,11.39972972869873,9.863109588623047,14.471981048583984
21,emotional_pressure_delta,36,21.297988361782497,21.14792537689209,17.948884963989258,24.9289493560791
21,false_pressure_delta,36,17.385199387868244,16.869940757751465,14.616782188415527,22.972408294677734
21,true_pressure_delta,36,17.173966858122085,16.945088386535645,14.415337562561035,21.28213119506836
22,closed_context_delta,36,21.906553798251682,21.11185073852539,17.568038940429688,30.67454719543457
22,distractor_delta,36,11.74123313691881,11.457882404327393,9.996389389038086,16.34941291809082
22,emotional_pressure_delta,36,21.924666298760307,21.616894721984863,17.75738525390625,26.520132064819336
22,false_pressure_delta,36,17.944904857211643,17.705666542053223,14.484648704528809,24.86171531677246
22,true_pressure_delta,36,17.708711014853584,17.327954292297363,14.307251930236816,24.232967376708984
