label_scheme,layer,layer_bucket,n_examples,n_families,balanced_accuracy,auroc,average_precision,f1,precision,recall,confusion_matrix_counts,baseline_balanced_accuracy,C_used
primary,29,late,144,36,0.8741312741312741,0.9555984555984556,0.9516422268213285,0.8676470588235294,0.8939393939393939,0.8428571428571429,"{""tn"": 67, ""fp"": 7, ""fn"": 11, ""tp"": 59}",0.5,1.0
primary,30,late,144,36,0.8745173745173744,0.9523166023166023,0.9488275458167353,0.8695652173913043,0.8823529411764706,0.8571428571428571,"{""tn"": 66, ""fp"": 8, ""fn"": 10, ""tp"": 60}",0.5,1.0
primary,31,late,144,36,0.8876447876447877,0.9569498069498069,0.9557841814237884,0.8805970149253731,0.921875,0.8428571428571429,"{""tn"": 69, ""fp"": 5, ""fn"": 11, ""tp"": 59}",0.5,1.0
primary,32,late,144,36,0.9090733590733591,0.9646718146718147,0.964118153465157,0.9051094890510949,0.9253731343283582,0.8857142857142857,"{""tn"": 69, ""fp"": 5, ""fn"": 8, ""tp"": 62}",0.5,1.0
primary,33,late,144,36,0.901930501930502,0.9693050193050192,0.9678948185106161,0.8970588235294118,0.9242424242424242,0.8714285714285714,"{""tn"": 69, ""fp"": 5, ""fn"": 9, ""tp"": 61}",0.5,1.0
primary,34,late,144,36,0.8808880308880309,0.9720077220077221,0.9690883468893634,0.8740740740740741,0.9076923076923077,0.8428571428571429,"{""tn"": 68, ""fp"": 6, ""fn"": 11, ""tp"": 59}",0.5,1.0
primary,35,late,144,36,0.9301158301158301,0.9801158301158301,0.9758906436280722,0.927536231884058,0.9411764705882353,0.9142857142857143,"{""tn"": 70, ""fp"": 4, ""fn"": 6, ""tp"": 64}",0.5,1.0
strict,0,early,122,36,0.7773085585585586,0.861204954954955,0.8037122276226314,0.7326732673267327,0.6981132075471698,0.7708333333333334,"{""tn"": 58, ""fp"": 16, ""fn"": 11, ""tp"": 37}",0.5,1.0
strict,1,early,122,36,0.7601351351351351,0.8555743243243245,0.813868081775285,0.7128712871287128,0.6792452830188679,0.75,"{""tn"": 57, ""fp"": 17, ""fn"": 12, ""tp"": 36}",0.5,1.0
strict,2,early,122,36,0.8251689189189189,0.8800675675675677,0.8539293064991575,0.7878787878787878,0.7647058823529411,0.8125,"{""tn"": 62, ""fp"": 12, ""fn"": 9, ""tp"": 39}",0.5,1.0
strict,3,early,122,36,0.7840653153153153,0.8876689189189189,0.839878365646259,0.74,0.7115384615384616,0.7708333333333334,"{""tn"": 59, ""fp"": 15, ""fn"": 11, ""tp"": 37}",0.5,1.0
strict,4,early,122,36,0.7981418918918919,0.8902027027027027,0.8322810512089811,0.7572815533980582,0.7090909090909091,0.8125,"{""tn"": 58, ""fp"": 16, ""fn"": 9, ""tp"": 39}",0.5,1.0
strict,5,early,122,36,0.8085585585585586,0.8927364864864864,0.8141407189660698,0.7692307692307693,0.7142857142857143,0.8333333333333334,"{""tn"": 58, ""fp"": 16, ""fn"": 8, ""tp"": 40}",0.5,1.0
strict,6,early,122,36,0.8184121621621622,0.8938626126126126,0.7924437350128898,0.78,0.75,0.8125,"{""tn"": 61, ""fp"": 13, ""fn"": 9, ""tp"": 39}",0.5,1.0
strict,7,early,122,36,0.7975788288288288,0.8733108108108109,0.7838619534480028,0.7551020408163265,0.74,0.7708333333333334,"{""tn"": 61, ""fp"": 13, ""fn"": 11, ""tp"": 37}",0.5,1.0
strict,8,early,122,36,0.8251689189189189,0.8575450450450451,0.7661404283530378,0.7878787878787878,0.7647058823529411,0.8125,"{""tn"": 62, ""fp"": 12, ""fn"": 9, ""tp"": 39}",0.5,1.0
strict,9,early,122,36,0.8417792792792793,0.8845720720720721,0.8046391250119388,0.8085106382978723,0.8260869565217391,0.7916666666666666,"{""tn"": 66, ""fp"": 8, ""fn"": 10, ""tp"": 38}",0.5,1.0
strict,10,early,122,36,0.8355855855855856,0.8921734234234233,0.8239571694199795,0.8,0.7692307692307693,0.8333333333333334,"{""tn"": 62, ""fp"": 12, ""fn"": 8, ""tp"": 40}",0.5,1.0
strict,11,early,122,36,0.8220720720720721,0.8966779279279279,0.8429791190154764,0.7843137254901961,0.7407407407407407,0.8333333333333334,"{""tn"": 60, ""fp"": 14, ""fn"": 8, ""tp"": 40}",0.5,1.0
strict,12,middle,122,36,0.8460022522522522,0.914695945945946,0.8894638132490325,0.8118811881188119,0.7735849056603774,0.8541666666666666,"{""tn"": 62, ""fp"": 12, ""fn"": 7, ""tp"": 41}",0.5,1.0
strict,13,middle,122,36,0.8595157657657657,0.9282094594594594,0.9089372018899751,0.8282828282828283,0.803921568627451,0.8541666666666666,"{""tn"": 64, ""fp"": 10, ""fn"": 7, ""tp"": 41}",0.5,1.0
strict,14,middle,122,36,0.8871058558558559,0.9349662162162162,0.9203436569875544,0.86,0.8269230769230769,0.8958333333333334,"{""tn"": 65, ""fp"": 9, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,15,middle,122,36,0.8730292792792793,0.9341216216216216,0.9224645043155096,0.845360824742268,0.8367346938775511,0.8541666666666666,"{""tn"": 66, ""fp"": 8, ""fn"": 7, ""tp"": 41}",0.5,1.0
strict,16,middle,122,36,0.8662725225225225,0.9473536036036037,0.9337737405672981,0.8367346938775511,0.82,0.8541666666666666,"{""tn"": 65, ""fp"": 9, ""fn"": 7, ""tp"": 41}",0.5,1.0
strict,17,middle,122,36,0.8938626126126126,0.9442567567567567,0.9383629126437375,0.8686868686868687,0.8431372549019608,0.8958333333333334,"{""tn"": 66, ""fp"": 8, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,18,middle,122,36,0.8938626126126126,0.9467905405405406,0.9409649154293804,0.8686868686868687,0.8431372549019608,0.8958333333333334,"{""tn"": 66, ""fp"": 8, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,19,middle,122,36,0.9073761261261262,0.9487612612612613,0.9387095888006687,0.8865979381443299,0.8775510204081632,0.8958333333333334,"{""tn"": 68, ""fp"": 6, ""fn"": 5, ""tp"": 43}",0.5,1.0
