task_name,permutation_idx,metric,value,true_value,z_vs_true,notes
task4_pressure_perturb_vs_distractor,1,balanced_acc,0.513542,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,2,balanced_acc,0.445833,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,3,balanced_acc,0.467708,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,4,balanced_acc,0.547917,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,5,balanced_acc,0.464583,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,6,balanced_acc,0.532292,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,7,balanced_acc,0.481250,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,8,balanced_acc,0.475000,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,9,balanced_acc,0.423958,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,10,balanced_acc,0.518750,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,11,balanced_acc,0.515625,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,12,balanced_acc,0.502083,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,13,balanced_acc,0.467708,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
